Time,Speed
1696582869000,0
1696582870000,0
1696582871000,0
1696582872000,0
1696582873000,0
1696582874000,0
1696582875000,0
1696582876000,0.17743656923076925
1696582877000,0.0811677923076923
1696582878000,0.052853446153846156
1696582879000,0
1696582880000,0
1696582881000,0
1696582882000,0
1696582883000,0
1696582884000,0
1696582885000,0
1696582886000,0
1696582887000,0
1696582888000,0
1696582889000,0
1696582890000,0
1696582891000,0
1696582892000,0
1696582893000,0
1696582894000,0
1696582895000,0
1696582896000,0
1696582897000,0
1696582898000,0
1696582899000,0
1696582900000,0
1696582901000,0
1696582902000,0
1696582903000,0
1696582904000,0
1696582905000,0
1696582906000,0
1696582907000,0
1696582908000,0
1696582909000,0
1696582910000,1.1155852384615383
1696582911000,8.209272761538461
1696582912000,9.849617215384617
1696582913000,9.587237607692309
1696582914000,9.585349984615384
1696582915000,9.740135076923078
1696582916000,9.46642973076923
1696582917000,9.383374315384618
1696582918000,9.3739362
1696582919000,9.228589223076924
1696582920000,4.462340953846153
1696582921000,2.8729623230769232
1696582922000,6.770903976923077
1696582923000,18.968724300000005
1696582924000,23.56319886923077
1696582925000,26.811798184615395
1696582926000,27.85376612307692
1696582927000,29.545076400000003
1696582928000,29.3733027
1696582929000,27.621588484615387
1696582930000,27.091166400000002
1696582931000,27.91605768461539
1696582932000,30.26803603846154
1696582933000,38.45465732307693
1696582934000,27.096829269230774
1696582935000,29.088271615384617
1696582936000,27.75749734615385
1696582937000,30.296350384615387
1696582938000,28.51254657692308
1696582939000,28.09915712307692
1696582940000,27.950034900000002
1696582941000,27.646127584615385
1696582942000,31.897054753846156
1696582943000,30.44169736153846
1696582944000,29.611143207692304
1696582945000,25.407406615384616
1696582946000,27.077953038461537
1696582947000,28.384188207692304
1696582948000,29.905612407692313
1696582949000,31.925369100000005
1696582950000,31.464789069230775
1696582951000,32.9635617923077
1696582952000,30.62102155384616
1696582953000,32.0556150923077
1696582954000,
1696582955000,30.358641946153856
1696582956000,18.19479883846154
1696582957000,16.671487015384617
1696582958000,19.044229223076922
1696582959000,19.085756930769232
1696582960000,19.663369592307696
1696582961000,20.2692966
1696582962000,20.805381553846154
1696582963000,19.11029603076923
1696582964000,18.766748630769236
1696582965000,18.67236747692308
1696582966000,18.66292936153846
1696582967000,18.57421107692308
1696582968000,18.76297338461539
1696582969000,16.565780123076927
1696582970000,16.20713173846154
1696582971000,14.406339323076924
1696582972000,13.54369557692308
1696582973000,0.9985526076923077
1696582974000,6.71805053076923
1696582975000,18.804501092307692
1696582976000,23.774612653846155
1696582977000,25.23752053846154
1696582978000,27.293142069230772
1696582979000,26.762719984615387
1696582980000,26.315353315384613
1696582981000,27.1647837
1696582982000,27.944372030769234
1696582983000,28.161448684615387
1696582984000,28.157673438461547
1696582985000,32.9069331
1696582986000,32.39727486923076
1696582987000,29.437481884615387
1696582988000,29.184540392307692
1696582989000,29.116585961538465
1696582990000,29.252494823076926
1696582991000,28.102932369230768
1696582992000,27.157233207692308
1696582993000,28.595601992307696
1696582994000,28.77681380769231
1696582995000,29.22040523076923
1696582996000,29.650783292307693
1696582997000,30.619133930769234
1696582998000,30.453023100000006
1696582999000,29.573390746153848
1696583000000,30.75504279230769
1696583001000,32.15565911538461
1696583002000,29.988667823076923
1696583003000,29.528087792307687
1696583004000,35.90636616923078
1696583005000,42.826392369230774
