"Time","temperature"
1696583105000,
1696583106000,41.62
1696583107000,
1696583108000,41.59
1696583109000,
1696583110000,41.65
1696583111000,
1696583112000,41.95
1696583113000,
1696583114000,41.96
1696583115000,
1696583116000,41.63
1696583117000,
1696583118000,41.99
1696583119000,
1696583120000,42.1
1696583121000,
1696583122000,41.73
1696583123000,
1696583124000,41.73
1696583125000,
1696583126000,41.73
1696583127000,
1696583128000,41.66
1696583129000,
1696583130000,42.17
1696583131000,
1696583132000,41.99
1696583133000,
1696583134000,41.73
1696583135000,
1696583136000,41.54
1696583137000,
1696583138000,41.74
1696583139000,
1696583140000,42.06
1696583141000,
1696583142000,41.73
1696583143000,
1696583144000,41.69
1696583145000,
1696583146000,41.76
1696583147000,
1696583148000,42.13
1696583149000,
1696583150000,41.62
1696583151000,
1696583152000,41.76
1696583153000,
1696583154000,41.62
1696583155000,
1696583156000,42.13
1696583157000,
1696583158000,42.35
1696583159000,
1696583160000,41.99
1696583161000,
1696583162000,42.06
1696583163000,
1696583164000,41.66
1696583165000,
1696583166000,42.14
1696583167000,
1696583168000,41.73
1696583169000,
1696583170000,42.36
1696583171000,
1696583172000,42.07
1696583173000,
1696583174000,42.47
1696583175000,
1696583176000,42.1
1696583177000,
1696583178000,41.55
1696583179000,
1696583180000,41.62
1696583181000,
1696583182000,41.99
1696583183000,
1696583184000,41.73
1696583185000,
1696583186000,42.14
1696583187000,
1696583188000,41.69
1696583189000,
1696583190000,42.14
1696583191000,
1696583192000,42.06
1696583193000,
1696583194000,42
1696583195000,
1696583196000,41.95
1696583197000,
1696583198000,41.74
1696583199000,
1696583200000,41.65
1696583201000,
1696583202000,41.95
1696583203000,
1696583204000,41.24
1696583205000,
1696583206000,41.7
1696583207000,
1696583208000,41.65
1696583209000,
1696583210000,
1696583211000,
1696583212000,42.12
1696583213000,
1696583214000,40.41
1696583215000,
1696583216000,41.18
1696583217000,
1696583218000,41.64
1696583219000,
1696583220000,39.44
1696583221000,
1696583222000,42.49
1696583223000,
1696583224000,40.59
1696583225000,
1696583226000,44.08
1696583227000,
